"","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id","capture_comments"
"50","fdadf93f-7e1a-48fc-ae0e-2a08884f4add","2022-06-15 04:05:14 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG16","Rana catesbeiana",NA,"New",NA,"e3942673-21fa-45e3-a580-81dc0e8fc6c3","Adult",NA,"Male",NA,94.1,115.23,11.23,104,"BDSwab00098","BacSwab00098",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00029",NA
"51","3867bbd6-cd37-45c5-94ee-19511d700acc","2022-06-15 04:07:35 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG00","Rana catesbeiana",NA,"New",NA,"ab5a2862-c3d6-4d6d-9a9b-68459791aeca","Adult",NA,"Female",NA,109.2,165.95,3.57,162.38,"BDSwab00099","BacSwab00099",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00030",NA
"52","ea2f93f2-6f0c-4c43-abc3-0d5130ea93bc","2022-06-15 04:11:18 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG24","Rana catesbeiana",NA,"New",NA,"ec74f99e-2391-43a8-8929-957e37384ab5","Juvenile",NA,"Unknown",NA,56.1,20,4.3,15.7,"BDSwab00100","BacSwab00100",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00023",NA
"53","fa085f2c-5f59-462a-95ea-e42aabfb4159","2022-06-15 04:35:59 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG13","Rana catesbeiana",NA,"New",NA,"822e5f53-df47-4e14-98c1-37a397341017","Juvenile",NA,"Unknown",NA,50.8,16.75,4,12.75,"BDSwab00106","BacSwab00106",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00032",NA
"54","9034016f-7221-4417-b570-29c0e3c5a716","2022-06-15 05:16:45 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG04","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1486edb7-14e4-4220-90e9-f6617997e449","2022-06-15 05:17:47 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG05","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","ba2bab82-0cd1-415b-856d-93fb5e4b17bd","2022-06-15 05:18:03 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG51","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","b32ccab0-de4f-480d-8c96-679a5563d39d","2022-06-15 05:19:05 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG44","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","91495daf-f2bb-4e3a-b4ef-4f987b0b03af","2022-06-15 05:19:13 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG15","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","cec94330-4d9b-4b53-89d3-c8c1472bbd7a","2022-06-15 05:19:20 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG14","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","7225044d-7896-403a-84f2-2a5b1e65de20","2022-06-15 05:19:27 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG43","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","666554f1-e884-4b1d-9131-eae200185aa2","2022-06-15 05:19:39 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG60","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","e31a43cf-cc9c-48ce-91fd-c5b818dc4331","2022-06-15 05:19:59 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG31","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","d76090e1-49dc-480f-9863-aa2538bcb25d","2022-06-15 05:20:19 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG58","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","b2390006-d010-46f4-8cd8-465eef5e64ae","2022-06-15 05:20:57 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG00","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","405fb0e9-acf9-4faf-8088-4d71c13359f8","2022-06-15 05:22:05 UTC","35459c4d-084b-45e2-b535-bec961964109","BAG19","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
