"fulcrum_id","created_at","location","species","capture_date","cmr_id","cmr_id_other"
"19941e3c-38ef-423c-8214-8c92c8ca7310","2022-06-16 03:49:33 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2A3",NA
"6ac597e0-3a45-417f-94fc-2c1056567207","2022-06-16 03:50:00 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A3B3",NA
"46fa1fbc-d543-4de6-b918-875fc187e785","2022-06-16 03:50:36 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B2",NA
"48e11475-5f4e-47ee-9b31-cca48bd2ceff","2022-06-16 03:51:03 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"B3",NA
"e41751ce-c321-414a-88b7-5ba53ec17474","2022-06-16 03:52:08 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2B3",NA
"dcb1e4ad-0ab1-479a-8a3c-e0b5252e834e","2022-06-16 03:52:40 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"B3",NA
"1f50ba3d-7b4a-4ab3-9460-b2594c1705b7","2022-06-16 03:53:30 UTC","Tuttle Pond","Rana catesbeiana",2022-06-15,"A2",NA
"899fcb80-c8c2-4516-91e4-0fa4632f8088","2022-06-28 04:10:12 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,NA,"A2A3A4"
"cc1d980e-f963-485a-924c-1586b6d3bb51","2022-06-28 05:21:01 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A2",NA
"1256fed4-3e0d-42ee-a493-01a55a8a75b2","2022-06-28 05:23:30 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A3",NA
"61a60510-9340-4a30-90ff-bfd282305493","2022-06-28 05:25:19 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A4",NA
"a75be5cd-728d-465f-b54e-af161627da72","2022-06-28 05:26:42 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"B2",NA
"632f450d-9f6c-43bd-9976-695df4c08775","2022-06-28 05:28:18 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"B3",NA
"cb79fc19-c2e6-4494-b1d5-f49959af5222","2022-06-28 05:30:01 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"B4",NA
"a629037a-271c-4f90-8184-061595de70a7","2022-06-28 05:31:17 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A2A3",NA
"de4e8c2c-76cb-45aa-a3d1-92a769994b3d","2022-06-28 05:33:34 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A2A4",NA
"91538001-1bf7-4f1f-a977-104367bfd47f","2022-06-28 05:35:33 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A3A4",NA
"f89475b4-e93a-4735-908b-da9b4fdb7ba3","2022-06-28 05:37:22 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A2B2",NA
"48a740cf-e5d5-4e21-9ebe-ad82bb63779c","2022-06-28 05:39:52 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A2B3",NA
"138ab2a0-17b2-414c-b388-d0bf2f832af9","2022-06-28 05:41:37 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A2B4",NA
"9036b62c-ba54-422e-9fb9-389af18b3394","2022-06-28 05:42:54 UTC","Vorisek Pond","Rana catesbeiana",2022-06-27,"A3B2",NA
"ef13ec41-354e-426d-b92d-fa147b028386","2022-06-29 03:16:06 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"B3",NA
"560b55a7-88dd-4211-8e6e-ea1c9da265b1","2022-06-29 03:16:51 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"B2",NA
"dcb71782-0c18-4823-9129-40d7d87bad9a","2022-06-29 03:17:15 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"A2A4",NA
"95d96885-bbd7-4fcd-abe5-18be07e2e590","2022-06-29 03:17:37 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"A3",NA
"d6f84bfe-1f52-4a9e-943f-e83a897cc88a","2022-06-29 03:18:09 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,NA,"A2A3A4"
"760a69a9-783f-4f79-960f-e672872334df","2022-06-29 03:18:38 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"A2",NA
"cf34ce26-0bc5-4aa5-8535-dd2b6b4bac08","2022-06-29 03:19:37 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"A3B2",NA
"64caee74-7cfe-4a9c-bcf4-7423ff7aa7c8","2022-06-29 03:20:00 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"B4",NA
"3a0baaed-dbd1-4dda-b282-ed56bf966353","2022-06-29 03:20:35 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"A3A4",NA
"7239eb2a-13e3-4b14-a8fe-fb558f0a41e0","2022-06-29 03:35:26 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,NA,"D1D2D3D4"
"9cf298ee-1723-4bb6-b7d6-07564ba0c504","2022-06-29 03:40:39 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"A3B3",NA
"7b8cb562-fe42-4c6c-8953-f499987e46fe","2022-06-29 03:42:39 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"A3B4",NA
"8e006d02-eae6-4d2a-bf0b-512daf6ffa64","2022-06-29 03:43:47 UTC","Vorisek Pond","Rana catesbeiana",2022-06-28,"A4B2",NA
"9291b833-2d89-4956-8dc4-0585bba9bc39","2022-07-12 05:28:51 UTC","RV Pond","Rana catesbeiana",2022-07-11,"A2B4",NA
"92303a27-b164-4647-aa0d-f2676938218e","2022-07-12 05:30:27 UTC","RV Pond","Rana catesbeiana",2022-07-11,"A3B2",NA
"664486c9-2f78-43c8-b9f9-bc58bee8e0f0","2022-07-12 05:32:03 UTC","RV Pond","Rana catesbeiana",2022-07-11,"A3B3",NA
"3d97e9ae-b325-4515-8690-cb93dc197f07","2022-07-12 05:33:05 UTC","RV Pond","Rana catesbeiana",2022-07-11,"A3B4",NA
"5c841212-ad85-4a96-abb6-bfb207bba1d9","2022-07-12 05:34:15 UTC","RV Pond","Rana catesbeiana",2022-07-11,"A4B2",NA
"1eb1614b-b431-4afb-a6fb-5d04355dc0be","2022-07-12 05:36:00 UTC","RV Pond","Rana catesbeiana",2022-07-11,"A4B3",NA
"823c41c3-5096-4e8d-9b84-c4ac3b28537d","2022-07-12 05:37:35 UTC","RV Pond","Rana catesbeiana",2022-07-11,"A4B4",NA
"29774347-494b-41bb-90e1-ee730747f4ab","2022-07-12 05:39:10 UTC","RV Pond","Rana catesbeiana",2022-07-11,NA,"A2A3B2"
"8951e6bb-0915-4441-8c25-661842b359e1","2022-07-12 05:42:06 UTC","RV Pond","Rana catesbeiana",2022-07-11,NA,"A2A3B3"
"cde30b28-c8c3-49f8-a6b5-9a9a8a161d30","2022-07-12 05:43:51 UTC","RV Pond","Rana catesbeiana",2022-07-11,NA,"A2A3B4"
"a2de9b3f-ea57-45c9-8048-659468836d63","2022-07-12 05:45:59 UTC","RV Pond","Rana catesbeiana",2022-07-11,NA,"A2A4B2"
"e31659ec-0a15-4479-9fe7-5888c810f9ce","2022-07-12 05:47:28 UTC","RV Pond","Rana catesbeiana",2022-07-11,NA,"A2A4B3"
"33a8aa71-6932-498a-8211-3e2849bf087e","2022-07-12 05:48:55 UTC","RV Pond","Rana catesbeiana",2022-07-11,NA,"A2A4B4"
"a0e0a6bb-c89e-446d-99f6-963085a9db8c","2022-07-12 05:55:26 UTC","RV Pond",NA,2022-07-11,"A2",NA
"d70c6d03-62e0-4e8d-8d0a-9ace6a32ddc1","2022-07-13 04:33:31 UTC","RV Pond","Rana catesbeiana",2022-07-12,"A4B2",NA
"b250863c-79c0-45c3-b415-28366ae51e7c","2022-07-13 04:45:04 UTC","RV Pond","Rana catesbeiana",2022-07-12,NA,"A2A3B2"
"8b15cc00-0712-4997-b067-956b24a2f85d","2022-07-19 04:05:04 UTC","Tuttle Pond","Rana catesbeiana",2022-07-18,"A2",NA
"e650cbcd-bc8a-4dc9-ad63-0eb1b590246c","2022-07-19 04:14:34 UTC","Tuttle Pond","Rana catesbeiana",2022-07-18,"A3",NA
"f05a3928-aefb-4dc5-8131-56e1b3dee0e2","2022-07-19 04:40:05 UTC","Tuttle Pond","Rana catesbeiana",2022-07-18,"A4",NA
"c7f47510-602c-4d30-9b2f-9c5e151ace08","2022-07-19 04:44:36 UTC","Tuttle Pond","Rana catesbeiana",2022-07-18,"B2",NA
